data_id,iso,event_id_cnty,event_id_no_cnty,event_date,year,time_precision,event_type,sub_event_type,actor1,assoc_actor_1,inter1,actor2,assoc_actor_2,inter2,interaction,region,country,admin1,admin2,admin3,location,latitude,longitude,geo_precision,source,source_scale,notes,fatalities,timestamp,iso3
6329425,760,SYR69514,69514,02-Nov-19,2019,1,Battles,Armed clash,Military Forces of Syria (2000-),,1,Islamist Militia (Syria),,3,13,Middle East,Syria,Hama,As-Suqaylabiyah,Ziyara,Hakora,35.6087,36.3244,2,SOHR; SHAM,Other-National,On 2 November 2019 an Islamist sniper killed a regime fighter on Hakora front in Hama.,1,1572903676,SYR
6329426,760,SYR69515,69515,02-Nov-19,2019,1,Battles,Armed clash,Military Forces of Syria (2000-),Military Forces of Russia (2000-); Militia (Pro-Government),1,Islamist Militia (Syria),,3,13,Middle East,Syria,Lattakia,Al-Haffa,Kansaba,Kabani,35.7187,36.2331,2,Liveuamap; SOHR,Local partner-New media,On 2 November 2019 clashes took place between regime and pro-regime militia forces against Islamist factions in Kabani area in Lattakia amid Russian airstrikes and regime shelling on the area. No advances were reported. Neither fatalities nor injuries were reported.,0,1572903676,SYR
6329601,760,SYR69552,69552,02-Nov-19,2019,1,Battles,Armed clash,Operation Peace Spring,Opposition Rebels (Syria),2,QSD: Syrian Democratic Forces,Military Forces of Syria (2000-),2,22,Middle East,Syria,Al-Hasakeh,Al-Hasakeh,Al-Hasakeh,Al-Hasakeh,36.5054,40.7429,3,SHAM,National,On 2 November 2019 clashes took place between opposition factions under Operation Peace Spring and QSD and/or regime forces near Msheirfeh Sharqiyeh village in al-Hasakeh. Neither fatalities nor injuries were reported.,0,1572903676,SYR
6329606,760,SYR69553,69553,02-Nov-19,2019,1,Battles,Armed clash,Operation Peace Spring,Opposition Rebels (Syria),2,QSD: Syrian Democratic Forces,Military Forces of Syria (2000-),2,22,Middle East,Syria,Al-Hasakeh,Al-Hasakeh,Al-Hasakeh,Al-Hasakeh,36.5054,40.7429,3,SHAM,National,On 2 November 2019 clashes took place between opposition factions under Operation Peace Spring and QSD and/or regime forces near Nweihat village in al-Hasakeh. Neither fatalities nor injuries were reported.,0,1572903676,SYR
6329643,760,SYR69607,69607,02-Nov-19,2019,1,Battles,Non-state actor overtakes territory,QSD: Syrian Democratic Forces,,2,Operation Peace Spring,Opposition Rebels (Syria),2,22,Middle East,Syria,Al-Hasakeh,Al-Hasakeh,Al-Hasakeh,Al-Hasakeh,36.5054,40.7429,2,SOHR,Other,On 2 November 2019 clashes took place between opposition factions under Operation Peace Spring and QSD in Jamiliyeh in al-Hasakeh where QSD were able to recapture the area. Neither fatalities nor injuries were reported.,0,1572903676,SYR
6329680,760,SYR69608,69608,02-Nov-19,2019,1,Battles,Non-state actor overtakes territory,QSD: Syrian Democratic Forces,,2,Operation Peace Spring,Opposition Rebels (Syria),2,22,Middle East,Syria,Al-Hasakeh,Al-Hasakeh,Tal Tamer,Qasemiyeh,36.7059,40.3406,1,SOHR,Other,On 2 November 2019 clashes took place between opposition factions under Operation Peace Spring and QSD in Qasmiye in al-Hasakeh where QSD were able to recapture the area. Neither fatalities nor injuries were reported.,0,1572903676,SYR
6329693,760,SYR69554,69554,02-Nov-19,2019,1,Battles,Armed clash,Operation Peace Spring,Opposition Rebels (Syria),2,QSD: Syrian Democratic Forces,,2,22,Middle East,Syria,Al-Hasakeh,Ras Al Ain,Ras Al Ain,Abu Rasin,36.8465,40.3284,2,SOHR,Other,On 2 November 2019 clashes took place between opposition factions under Operation Peace Spring and QSD in Abu Rasin area in al-Hasakeh amid an exchange of shelling barrages between both sides. Neither fatalities nor injuries were reported.,0,1572903676,SYR
6329694,760,SYR69555,69555,02-Nov-19,2019,1,Battles,Armed clash,Operation Peace Spring,Opposition Rebels (Syria),2,QSD: Syrian Democratic Forces,,2,22,Middle East,Syria,Ar-Raqqa,Tell Abiad,Ein Issa,Ein Issa,36.3837,38.8628,2,SOHR,Other,On 2 November 2019 clashes took place between opposition factions under Operation Peace Spring and QSD near Ein Issa in Ar-Raqqa following an attack by the former to cut off Ein Issa - Jabriyah road amid an exchange of indirect fire attacks. The attack was repelled by QSD. Neither fatalities nor injuries were reported.,0,1572903676,SYR
6329718,760,SYR69606,69606,02-Nov-19,2019,1,Battles,Non-state actor overtakes territory,QSD: Syrian Democratic Forces,,2,Operation Peace Spring,Opposition Rebels (Syria),2,22,Middle East,Syria,Al-Hasakeh,Al-Hasakeh,Al-Hasakeh,Al-Hasakeh,36.5054,40.7429,2,SOHR,Other,On 2 November 2019 clashes took place between opposition factions under Operation Peace Spring and QSD in Dawdi in al-Hasakeh where QSD were able to recapture the area. Neither fatalities nor injuries were reported.,0,1572903676,SYR
6329757,760,SYR69605,69605,02-Nov-19,2019,1,Battles,Non-state actor overtakes territory,QSD: Syrian Democratic Forces,,2,Operation Peace Spring,Opposition Rebels (Syria),2,22,Middle East,Syria,Al-Hasakeh,Al-Hasakeh,Al-Hasakeh,Al-Hasakeh,36.5054,40.7429,2,SOHR,Other,On 2 November 2019 clashes took place between opposition factions under Operation Peace Spring and QSD in Aziza in al-Hasakeh where QSD were able to recapture the area. Neither fatalities nor injuries were reported.,0,1572903676,SYR
