data_id,iso,event_id_cnty,event_id_no_cnty,event_date,year,time_precision,event_type,sub_event_type,actor1,assoc_actor_1,inter1,actor2,assoc_actor_2,inter2,interaction,region,country,admin1,admin2,admin3,location,latitude,longitude,geo_precision,source,source_scale,notes,fatalities,timestamp,iso3
6860291,887,YEM47251,47251,"08 February 2020",2020,1,"Strategic developments","Looting/property destruction","Unidentified Armed Group (Yemen)",,3,"Civilians (Yemen)","Military Forces of Yemen (2012-) Security Belt Forces",7,37,"Middle East",Yemen,Abyan,"Al Mahfad",,"Al Mahfid",14.0585,46.9133,2,"Crater Sky; Yemen Data Project","Local partner-National","On 8 February 2020, unidentified armed men reportedly blew up the house of the commander of the Rapid intervention brigade of the Security Belt forces in Al Mahfad district (Abyan).",0,1581354349,YEM
6860292,887,YEM47253,47253,"08 February 2020",2020,1,Battles,"Armed clash","Military Forces of Yemen (2012-)","Southern Resistance",1,"Military Forces of Yemen (2016-) Supreme Political Council",,1,11,"Middle East",Yemen,"Ad Dali","Al Husha",,Battar,13.8176,44.578,2,"Khabar News Agency (Yemen); Yemen Data Project","Local partner-National","On 8 February 2020, clashes erupted between joint forces (coded as pro-Hadi) and Southern Resistance forces, on the one hand, and pro-Houthi elements, on the other hand, on the Battar (Al Husha, Ad Dali) and Jubb frontlines (Qaatabah, Ad Dali), as pro-Houthi groups waged attacks to gain control over Al Jubb military camp. During the clashes, pro-Houthi forces fired tank shots and mortar shells, also hitting residential areas and farms. No fatalities nor injuries reported.",0,1581354349,YEM
6860293,887,YEM47255,47255,"08 February 2020",2020,1,Battles,"Armed clash","Military Forces of Yemen (2012-)","Southern Resistance",1,"Military Forces of Yemen (2016-) Supreme Political Council",,1,11,"Middle East",Yemen,"Ad Dali",Qaatabah,,"Al Jubb",13.8309,44.6009,2,"Khabar News Agency (Yemen); Yemen Data Project","Local partner-National","On 8 February 2020, clashes erupted between joint forces (coded as pro-Hadi) and Southern Resistance forces, on the one hand, and pro-Houthi elements, on the other hand, on the Battar (Al Husha, Ad Dali) and Jubb frontlines (Qaatabah, Ad Dali), as pro-Houthi groups waged attacks to gain control over Al Jubb military camp. During the clashes, pro-Houthi forces fired tank shots and mortar shells, also hitting residential areas and farms. No fatalities nor injuries reported.",0,1581354349,YEM
6860294,887,YEM47256,47256,"08 February 2020",2020,1,Battles,"Armed clash","Military Forces of Yemen (2012-)","Southern Resistance",1,"Military Forces of Yemen (2016-) Supreme Political Council",,1,11,"Middle East",Yemen,"Ad Dali",Qaatabah,,"Bab Ghaliq",13.925,44.6493,2,"Khabar News Agency (Yemen); Yemen Data Project","Local partner-National","On 8 February 2020, joint forces (coded as pro-Hadi) and Southern Resistance forces reportedly thwarted a pro-Houthi incursion on the Bab Ghaliq frontline (Qaatabah, Ad Dali), during which pro-Houthi forces used heavy and medium machine guns and artillery. Clashes resulted in several pro-Houthi elements killed and injured (coded as 10).",10,1581354349,YEM
6860295,887,YEM47257,47257,"08 February 2020",2020,1,"Explosions/Remote violence","Shelling/artillery/missile attack","Military Forces of Yemen (2016-) Supreme Political Council",,1,"Military Forces of Yemen (2012-)","Militia (Pro-Government)",1,11,"Middle East",Yemen,"Ad Dali",Qaatabah,,"Jabal Murays",13.9667,44.6833,2,"Ansar Allah; Yemen Data Project","Local partner-National","On 8 February 2020, pro-Houthi forces reportedly shelled anti-Houthi and affiliated forces on the Murays frontline (Qaatabah, Ad Dali), killing and injuring several of them. Unknown number of fatalities and injuries coded as 10.",10,1581354349,YEM
6860296,887,YEM47261,47261,"08 February 2020",2020,1,Battles,"Armed clash","Popular Resistance","Giants Brigade; Al Humayqani Tribal Militia (Yemen)",3,"Military Forces of Yemen (2016-) Supreme Political Council",,1,13,"Middle East",Yemen,"Al Bayda","Az Zahir",,"Al Habaj",13.9542,45.4,2,"Al Mashhad Al Yemeni; Yemen Data Project","Local partner-National","On 8 February 2020, anti-Houthi Al Humayqani tribesmen and Giants Brigade forces reportedly thwarted a pro-Houthi incursion in Wadi Jahur area of Al Habaj frontline (Az Zahir, Al Bayda), killing and injuring several pro-Houthi elements. Unknown number of fatalities and injuries coded as 10.",10,1581354349,YEM
6860297,887,YEM47263,47263,"08 February 2020",2020,1,"Strategic developments","Looting/property destruction","Military Forces of Yemen (2012-)","Militia (Pro-Government)",1,"Military Forces of Yemen (2016-) Supreme Political Council",,1,11,"Middle East",Yemen,"Al Bayda",Mukayras,,"Aqabat Thirah",13.8874,45.774,1,"Yemen Data Project; Al Mashhad Al Yemeni","Local partner-National","On 8 February 2020, anti-Houthi and affiliated forces reportedly shot down a pro-Houthi reconnaissance drone in Thirah area (Mukayras, Al Bayda).",0,1581354349,YEM
6860298,887,YEM47264,47264,"08 February 2020",2020,1,"Explosions/Remote violence","Shelling/artillery/missile attack","National Resistance Forces",,3,,,0,30,"Middle East",Yemen,"Al Hudaydah","Ad Durayhimi",,"Ad Durayhimi",14.637,43.0551,1,"Yemen Data Project; Al Motamar","Local partner-National","On 8 February 2020, anti-Houthi National Resistance forces reportedly fired more than 20 artillery shells at Ad Durayhimi city (Al Hudaydah), causing damages to civilian houses.",0,1581354349,YEM
6860299,887,YEM47266,47266,"08 February 2020",2020,1,"Explosions/Remote violence","Shelling/artillery/missile attack","National Resistance Forces",,3,,,0,30,"Middle East",Yemen,"Al Hudaydah","Al Hali",,"Al Hudaydah-7 July",14.8033,42.9809,1,"Ansar Allah; Yemen Data Project","Local partner-National","On 8 February 2020, anti-Houthi National Resistance forces reportedly fired tank shots at 7 July area of Hudaydah city (Al Hali, Al Hudaydah). No fatalities nor injuries reported.",0,1581354349,YEM
6860300,887,YEM47267,47267,"08 February 2020",2020,1,"Explosions/Remote violence","Shelling/artillery/missile attack","National Resistance Forces",,3,,,0,30,"Middle East",Yemen,"Al Hudaydah","Al Hali",,"Al Hudaydah-Hali Coastal Defence Military Camp",14.7865,42.9976,1,"Yemen Data Project; Ansar Allah","Local partner-National","On 8 February 2020, anti-Houthi National resistance forces reportedly fired heavy machine guns at the Coastal Defence Military Camp (Al Hali, Al Hudaydah). No fatalities nor injuries reported.",0,1581354349,YEM
