data_id,iso,event_id_cnty,event_id_no_cnty,event_date,year,time_precision,event_type,sub_event_type,actor1,assoc_actor_1,inter1,actor2,assoc_actor_2,inter2,interaction,region,country,admin1,admin2,admin3,location,latitude,longitude,geo_precision,source,source_scale,notes,fatalities,timestamp,iso3
6980406,4,AFG44393,44393,29-Feb-20,2020,1,Explosions/Remote violence,Remote explosive/landmine/IED,Unidentified Armed Group (Afghanistan),,3,Police Forces of Afghanistan (2014-),,1,13,Caucasus and Central Asia,Afghanistan,Kandahar,Miyanishin,,Miyanishin,32.3823,66.3382,2,New York Times,International,On 29 February 2020 3 policemen were killed and 1 was wounded when their vehicle hit a roadside bomb in the Sagi area of Miyanishin district Kandahar. It's unclear who planted it.,3,1583771101,AFG
6971724,4,AFG44283,44283,29-Feb-20,2020,1,Explosions/Remote violence,Remote explosive/landmine/IED,Unidentified Armed Group (Afghanistan),,3,Police Forces of Afghanistan (2014-),,1,13,Caucasus and Central Asia,Afghanistan,Kandahar,Miyanishin,,Miyanishin,32.3823,66.3382,2,Pajhwok Afghan News,National,On 29 February 2020 a landmine planted by an unknown group killed at least 4 policemen and injured 1 in Miyanishin district Kandahar.,4,1583173638,AFG
6971582,4,AFG44284,44284,29-Feb-20,2020,1,Strategic developments,Agreement,Government of United States,,8,Taliban,,2,28,Caucasus and Central Asia,Afghanistan,Kabul,Kabul,,Kabul,34.5167,69.1833,3,Bakhtar News Agency,National,Agreement: on 29 February 2020 the Taliban and the US signed a peace deal according to which the US will withdraw all its forces in 14 months and the Taliban will no longer attack NATO forces in Afghanistan.,0,1583173637,AFG
6993388,4,AFG44588,44588,29-Feb-20,2020,2,Protests,Peaceful protest,Protesters (Afghanistan),,6,,,0,60,Caucasus and Central Asia,Afghanistan,Kabul,Kabul,,Kabul,34.5167,69.1833,1,Sharq TV,National,As reported on 29 February 2020 a group of people protested in Kabul city against the Ministry of Information and Technology due to its failure to lower the internet prices. [size=no report],0,1584385141,AFG
6980408,4,AFG44394,44394,28-Feb-20,2020,1,Battles,Armed clash,Unidentified Armed Group (Afghanistan),,3,Police Forces of Afghanistan (2014-),,1,13,Caucasus and Central Asia,Afghanistan,Zabul,Shah Joy,,Shah Joy,32.5215,67.4132,2,New York Times,International,On 28 February 2020 1 policeman was killed by unknown gunmen in the Bazar area of Shah Joy district Zabul.,1,1583771101,AFG
6971728,4,AFG44282,44282,28-Feb-20,2020,1,Explosions/Remote violence,Remote explosive/landmine/IED,Unidentified Armed Group (Afghanistan),,3,Civilians (Afghanistan),,7,37,Caucasus and Central Asia,Afghanistan,Urozgan,Tarinkot,,Tarinkot,32.6268,65.8733,1,Pajhwok Afghan News,National,On 28 February 2020 a bomb planted by an unknown group killed 2 civilians in Tarinkot city Urozgan.,2,1583173638,AFG
6971701,4,AFG44258,44258,27-Feb-20,2020,1,Explosions/Remote violence,Remote explosive/landmine/IED,Unidentified Armed Group (Afghanistan),,3,Police Forces of Afghanistan (2014-) Afghan Local Police,,1,13,Caucasus and Central Asia,Afghanistan,Balkh,Chimtal,,Chimtal,36.6782,66.8033,2,New York Times,International,On 27 February 2020 1 local policeman was killed when his vehicle hit a roadside bomb in the Asiab Khan village of Chimtal district Balkh.,1,1583173638,AFG
6971741,4,AFG44280,44280,27-Feb-20,2020,1,Explosions/Remote violence,Remote explosive/landmine/IED,Unidentified Armed Group (Afghanistan),,3,Civilians (Afghanistan),,7,37,Caucasus and Central Asia,Afghanistan,Kabul,Kabul,,Kabul,34.5167,69.1833,1,TOLO News,National,On 27 February 2020 2 IED's planted by an unknown group killed 1 civilian and injured 10 in Kabul city.,1,1583173638,AFG
6971742,4,AFG44279,44279,27-Feb-20,2020,2,Explosions/Remote violence,Remote explosive/landmine/IED,Taliban,,2,Police Forces of Afghanistan (2014-),,1,12,Caucasus and Central Asia,Afghanistan,Balkh,Chimtal,,Chimtal,36.6782,66.8033,2,TOLO News,National,Reported on 27 February 2020 a landmine planted by Taliban killed 1 policeman in Chimtal district Balkh.,1,1583173638,AFG
6971754,4,AFG44281,44281,27-Feb-20,2020,1,Strategic developments,Agreement,Military Forces of Afghanistan (2014-),,1,Islamic State (Afghanistan),,2,12,Caucasus and Central Asia,Afghanistan,Kunar,Asadabad,,Asadabad,34.8731,71.147,3,Xinhua,International,Agreement: On 27 February 2020 39 Islamic State militants surrendered to Afghan military forces in Kunar province.,0,1583173638,AFG
6971702,4,AFG44259,44259,26-Feb-20,2020,1,Explosions/Remote violence,Shelling/artillery/missile attack,Military Forces of Afghanistan (2014-),,1,Taliban,Civilians (Afghanistan),2,12,Caucasus and Central Asia,Afghanistan,Logar,Charkh,,Charkh,33.7971,68.9375,2,New York Times,International,On 26 February 2020 1 child was killed by the explosion of a mortar shell left from clashes between Afghan forces and Taliban militants in Charkh district Logar.,1,1583173638,AFG
6971703,4,AFG44260,44260,26-Feb-20,2020,1,Explosions/Remote violence,Remote explosive/landmine/IED,Unidentified Armed Group (Afghanistan),,3,Police Forces of Afghanistan (2014-),,1,13,Caucasus and Central Asia,Afghanistan,Kandahar,Khakrez,,Khakrez,31.985,65.4728,2,New York Times,International,On 26 February 2020 1 policeman was killed by a roadside bomb in Khakrez district Kandahar. It's unclear who planted the bomb.,1,1583173638,AFG
6971707,4,AFG44261,44261,26-Feb-20,2020,1,Battles,Armed clash,Taliban,,2,Militia (Pro-Government),,3,23,Caucasus and Central Asia,Afghanistan,Ghazni,Qarabagh,,Mushakai,33.2376,68.2109,1,New York Times,International,On 26 February 2020 1 pro-government militia member was kidnapped and killed by Taliban militants in the Mushakai (Moshaki) area of Qarabagh district Ghazni.,1,1583173638,AFG
6971725,4,AFG44276,44276,26-Feb-20,2020,1,Battles,Armed clash,Taliban,,2,Military Forces of Afghanistan (2014-),,1,12,Caucasus and Central Asia,Afghanistan,Ghazni,Muqur,,Muqur,32.8201,67.7693,2,Pajhwok Afghan News,National,On 26 February 2020 Taliban militants attacked an Afghan military post as a result 2 Taliban militants were killed and 1 injured in Laram of Muqur district Ghazni.,2,1583173638,AFG
6971726,4,AFG44277,44277,26-Feb-20,2020,1,Strategic developments,Disrupted weapons use,Taliban,,2,,,0,20,Caucasus and Central Asia,Afghanistan,Balkh,Dawlat Abad,,Dawlat Abad,36.9882,66.8207,2,Pajhwok Afghan News,National,Detonation: on 26 February 2020 7 Taliban militants were killed when a bomb they were carrying exploded prematurely in Pul-Baladi village of Dawlat Abad district Balkh.,7,1583173638,AFG
6971727,4,AFG44278,44278,26-Feb-20,2020,1,Battles,Armed clash,Taliban,,2,Police Forces of Afghanistan (2014-),,1,12,Caucasus and Central Asia,Afghanistan,Herat,Shindand,,Shindand,33.3029,62.1474,2,Pajhwok Afghan News,National,On 26 February 2020 Taliban militants attacked and injured 2 policemen and abducted a colonel in Shindand district Herat.,0,1583173638,AFG
6971572,4,AFG44257,44257,26-Feb-20,2020,1,Explosions/Remote violence,Remote explosive/landmine/IED,Unidentified Armed Group (Afghanistan),,3,Civilians (Afghanistan),,7,37,Caucasus and Central Asia,Afghanistan,Kabul,Kabul,,Kabul,34.5167,69.1833,1,Pajhwok Afghan News; New York Times,National-International,On 26 February 2020 1 civilian was killed and 10 were wounded by a bomb attached to a bicycle in PD6 of Kabul city. It's unclear who planted the bomb.,1,1583173637,AFG
6971704,4,AFG44262,44262,25-Feb-20,2020,1,Explosions/Remote violence,Remote explosive/landmine/IED,Unidentified Armed Group (Afghanistan),,3,Police Forces of Afghanistan (2014-),,1,13,Caucasus and Central Asia,Afghanistan,Zabul,Arghandab,,Arghandab,32.5555,67.0371,2,New York Times,International,On 25 February 2020 1 policeman was killed and 1 was wounded when their vehicle hit a roadside bomb in Arghandab district Zabul. It's unclear who planted the bomb.,1,1583173638,AFG
6971714,4,AFG44263,44263,25-Feb-20,2020,1,Battles,Armed clash,Taliban,,2,Military Forces of Afghanistan (2014-),,1,12,Caucasus and Central Asia,Afghanistan,Ghazni,Qarabagh,,Qarabagh,33.198,68.108,2,New York Times,International,On 25 February 2020 2 soldiers were killed and 1 was wounded following an ambush by Taliban militants in the Baran Qala area of Qarabagh district Ghazni.,2,1583173638,AFG
6980266,4,AFG44440,44440,25-Feb-20,2020,1,Explosions/Remote violence,Remote explosive/landmine/IED,Taliban,,2,Military Forces of Afghanistan (2014-),,1,12,Caucasus and Central Asia,Afghanistan,Zabul,Arghandab,,Arghandab,32.5555,67.0371,2,Afghan Islamic Press News Agency,National,On 25 February 2020 4 soldiers were wounded when their APC was hit by a Taliban-planted mine in the Anzergai area of Arghandab district Zabul.,0,1583771101,AFG
6980267,4,AFG44441,44441,25-Feb-20,2020,1,Explosions/Remote violence,Air/drone strike,Military Forces of Afghanistan (2014-),,1,Islamic State (Afghanistan),,2,12,Caucasus and Central Asia,Afghanistan,Kunar,Chawkay,,Chawkay,34.6925,70.9264,2,Afghan Islamic Press News Agency,National,On 25 February 2020 5 IS militants were killed by Afghan forces airstrikes in the Betal and Seri areas of Chawkay district Kunar.,5,1583771101,AFG
6971715,4,AFG44264,44264,24-Feb-20,2020,1,Explosions/Remote violence,Remote explosive/landmine/IED,Unidentified Armed Group (Afghanistan),,3,Military Forces of Afghanistan (2014-),,1,13,Caucasus and Central Asia,Afghanistan,Badghis,Jawand,,Jawand,35.0636,64.1492,2,New York Times,International,On 24 February 2020 3 border security members were killed when their vehicle hit a roadside bomb in Jawand district Farah. It's unclear who planted the bomb.,3,1583173638,AFG
6971716,4,AFG44265,44265,24-Feb-20,2020,1,Battles,Armed clash,Taliban,,2,Police Forces of Afghanistan (2014-),,1,12,Caucasus and Central Asia,Afghanistan,Ghazni,Qarabagh,,Qarabagh,33.198,68.108,2,New York Times,International,On 24 February 2020 2 policemen were kidnapped and killed by Taliban militants in the Qala area of Qarabagh district Ghazni.,2,1583173638,AFG
6971749,4,AFG44248,44248,24-Feb-20,2020,2,Explosions/Remote violence,Shelling/artillery/missile attack,Military Forces of Afghanistan (2014-),,1,Civilians (Afghanistan),,7,17,Caucasus and Central Asia,Afghanistan,Nangarhar,Khogyani,,Kaga,34.2409,70.1827,2,Voice of Jihad,Other,As reported on 24 February 2020 2 children and 1 woman were wounded by Afghan forces mortars in Khogyani district Nangarhar.,0,1583173638,AFG
6971750,4,AFG44249,44249,24-Feb-20,2020,2,Strategic developments,Change to group/activity,Military Forces of Afghanistan (2014-),Police Forces of Afghanistan (2014-); Militia (Pro-Government),1,Taliban,,2,12,Caucasus and Central Asia,Afghanistan,Balkh,Balkh,,Balkh,36.7564,66.8972,3,Voice of Jihad,Other,Change to armed group: As reported on 24 February 2020 90 soldiers policemen and pro-government militia members changed sides to the Taliban in Balkh province.,0,1583173638,AFG
6971751,4,AFG44250,44250,24-Feb-20,2020,1,Battles,Armed clash,Military Forces of Afghanistan (2014-),,1,Taliban,,2,12,Caucasus and Central Asia,Afghanistan,Nuristan,Kamdesh,,Kamdesh,35.4167,71.3333,2,Voice of Jihad,Other,On 24 February 2020 Afghan forces and the Taliban clashed in Kamdesh district Nuristan amid an attack by Afghan forces on civilians. Taliban claimed Afghan forces sufferred 'heavy losses.',0,1583173638,AFG
