data_id,iso,event_id_cnty,event_id_no_cnty,event_date,year,time_precision,event_type,sub_event_type,actor1,assoc_actor_1,inter1,actor2,assoc_actor_2,inter2,interaction,region,country,admin1,admin2,admin3,location,latitude,longitude,geo_precision,source,source_scale,notes,fatalities,timestamp,iso3
6971144,368,IRQ23689,23689,29-Feb-20,2020,1,Battles,Armed clash,Islamic State (Iraq),,2,TMF: Tribal Mobilization Forces,,4,24,Middle East,Iraq,Baghdad,Baghdad,,Baghdad,33.3248,44.4213,2,Al Ghad Press,National,On Feb 29 IS militants attacked TMF fighters in the Hawr Basha area northern Baghdad leaving 3 fighters dead.,3,1583167259,IRQ
6971175,368,IRQ23687,23687,29-Feb-20,2020,1,Protests,Peaceful protest,Protesters (Iraq),,6,,,0,60,Middle East,Iraq,Qadissiya,Diwaniya,,Diwaniya,31.9929,44.9255,1,Al Mirbad,National,On Feb 29 protesters in Diwaniya city protested in rejection of Allawi's government and demanded a government made up of independents and in support of the popular movement. [size=no report],0,1583167260,IRQ
6971185,368,IRQ23688,23688,29-Feb-20,2020,1,Explosions/Remote violence,Remote explosive/landmine/IED,Islamic State (Iraq),,2,Civilians (Iraq),Farmers (Iraq),7,27,Middle East,Iraq,Basrah,Al-Zubair,,Umm Qasr,30.0342,47.9294,1,Al Mirbad,National,On Feb 29 an IS IED (war remnant) exploded killing two truffle farmers in Umm Qasr in Basra district.,2,1583167260,IRQ
6971240,368,IRQ23685,23685,29-Feb-20,2020,1,Battles,Armed clash,Unidentified Armed Group (Iraq),,3,Police Forces of Iraq (2018-),,1,13,Middle East,Iraq,Diyala,Baquba,,Baquba,33.7466,44.6437,2,Baghdad Today,National,On Feb 29 a police officer was injured in an unidentified armed attack near his home northeast Baquba.,0,1583167260,IRQ
6971244,368,IRQ23686,23686,29-Feb-20,2020,1,Battles,Armed clash,Military Forces of Iraq (2018-),Military Forces of Iraq (2018-) Popular Mobilization Forces,1,Islamic State (Iraq),,2,12,Middle East,Iraq,Anbar,Falluja,,Karma,33.4266,43.9347,1,Baghdad Today,National,On Feb 29 a joint PMF and military operation in Karmah island in Anbar province targeted IS militants killing 5.,5,1583167260,IRQ
6971083,368,IRQ23586,23586,29-Feb-20,2020,2,Explosions/Remote violence,Air/drone strike,Military Forces of Turkey (2016-),,8,PKK: Kurdistan Workers Party,,2,28,Middle East,Iraq,Dahuk,Amedi,,Metina,37.1683,43.2709,2,Haber 7; Haberler,Regional,As reported on February 29 total 6 PKK militants were killed or injured in airstrikes conducted by the Turkish Army Forces in Metina and Gara (Chiya-e Gara) regions of Dahuk Northern Iraq. One event coded for each location.,0,1583167259,IRQ
6971084,368,IRQ23587,23587,29-Feb-20,2020,2,Explosions/Remote violence,Air/drone strike,Military Forces of Turkey (2016-),,8,PKK: Kurdistan Workers Party,,2,28,Middle East,Iraq,Dahuk,Amedi,,Chiya-e Gara,37.0394,43.5175,2,Haberler; Haber 7,Regional,As reported on February 29 total 6 PKK militants were killed or injured in airstrikes conducted by the Turkish Army Forces in Metina and Gara (Chiya-e Gara) regions of Dahuk Northern Iraq. One event coded for each location.,0,1583167259,IRQ
6971149,368,IRQ23668,23668,28-Feb-20,2020,1,Explosions/Remote violence,Remote explosive/landmine/IED,Unidentified Armed Group (Iraq),,3,Civilians (Iraq),Farmers (Iraq),7,37,Middle East,Iraq,Diyala,Baquba,,Al Abbarah,33.8142,44.6577,2,Al Maloomah,National,On Feb 28 an unidentified IED exploded targeting a farmer and killing him near al Abbarah in Diyala province.,1,1583167259,IRQ
6971150,368,IRQ23669,23669,28-Feb-20,2020,1,Battles,Armed clash,Unidentified Armed Group (Iraq),,3,Military Forces of Iraq (2018-),,1,13,Middle East,Iraq,Diyala,Balad Ruz,,Mandali,33.75,45.5554,1,Al Maloomah,National,On Feb 28 a security personnel was killed by unidentified gunfire in Mandali in Diyala province.,1,1583167259,IRQ
6971151,368,IRQ23667,23667,28-Feb-20,2020,1,Violence against civilians,Attack,Unidentified Armed Group (Iraq),,3,Civilians (Iraq),Al-Hameed Tribal Group (Iraq),7,37,Middle East,Iraq,Thi-Qar,Rifai,,Qalat Sukkar,31.8632,46.0732,1,Al Maloomah,National,On Feb 28 the tribal chief of the Al Hameed tribe was stabbed to death along with his wife in their home in Qalat Sukkar in Thi Qar province (there is suspicion that this is a criminal act).,2,1583167259,IRQ
