data_id,iso,event_id_cnty,event_id_no_cnty,event_date,year,time_precision,event_type,sub_event_type,actor1,assoc_actor_1,inter1,actor2,assoc_actor_2,inter2,interaction,region,country,admin1,admin2,admin3,location,latitude,longitude,geo_precision,source,source_scale,notes,fatalities,timestamp,iso3
6978080,434,LBY9289,9289,29-Feb-20,2020,1,Battles,Armed clash,Military Forces of Libya (2016-) Government of National Accord,,1,Military Forces of Libya (2014-) Haftar Faction,,1,11,Northern Africa,Libya,Tripoli,Tripoli,,Salah Aldeen,32.8286,13.2141,1,Ean Libya Limited,National,On 29 February 2020 GNA forces destroyed an LNA vehicle with six LNA fighters inside (presumably killed) in Salah Aldeen (Tripoli Tripoli),6,1583194353,LBY
6978082,434,LBY9292,9292,29-Feb-20,2020,1,Battles,Armed clash,Military Forces of Libya (2016-) Government of National Accord,,1,Military Forces of Libya (2014-) Haftar Faction,,1,11,Northern Africa,Libya,Aljfara,Aljfara,,Wadi al-Rabi,32.7236,13.2553,1,Ean Libya Limited,National,On 29 February 2020 GNA and LNA forces exchanged gunfire in Wadi al-Rabi. No casualties reported.,0,1583194353,LBY
6977851,434,LBY9279,9279,29-Feb-20,2020,1,Battles,Armed clash,Military Forces of Libya (2016-) Government of National Accord,,1,Military Forces of Libya (2014-) Haftar Faction,,1,11,Northern Africa,Libya,Aljfara,Aljfara,,Al Aziziyah,32.5319,13.0175,1,Ean Libya Limited; Libya EN; Libya24; Al Wasat (Libya),Other-National,On 29 February 2020 GNA and LNA forces clashed in Aziziyah (Aljfara Aljfara) leaving several LNA vehicles destroyed and five LNA fighters captured. A total of 12 GNA were reportedly killed across clashes in Aziziyah Ayn Zarah and Ramla (Al-Swani). Fatalities split between events.,4,1583194352,LBY
6977852,434,LBY9282,9282,29-Feb-20,2020,1,Battles,Government regains territory,Military Forces of Libya (2016-) Government of National Accord,,1,Military Forces of Libya (2014-) Haftar Faction,,1,11,Northern Africa,Libya,Aljfara,Aljfara,,Al-Swani,32.7133,13.0722,1,Address Libya; Ean Libya Limited,National,On 29 February 2020 GNA forces reportedly captured positions in Ramla [Al-Swani](Aljfara Aljfara) from the LNA. A total of 12 GNA were reportedly killed across clashes in Aziziyah Ayn Zarah and Ramla (Al-Swani). Fatalities split between events.,4,1583194352,LBY
6977853,434,LBY9285,9285,29-Feb-20,2020,1,Battles,Armed clash,Military Forces of Libya (2014-) Haftar Faction,,1,Military Forces of Libya (2016-) Government of National Accord,,1,11,Northern Africa,Libya,Tripoli,Tripoli,,Ayn Zarah,32.8133,13.2697,1,Address Libya; Ean Libya Limited; Libya24; Jamahiriya News Agency,National,On 29 February 2020 LNA and GNA forces clashed in Ayn Zarah (Tripoli Tripoli). LNA claimed to have destroyed three GNA vehicles while the GNA said it destroyed an LNA vehicle. A total of 12 GNA were reportedly killed across clashes in Aziziyah Ayn Zarah and Ramla (Al-Swani). Fatalities split between events.,4,1583194352,LBY
6982005,434,LBY9287,9287,29-Feb-20,2020,1,Explosions/Remote violence,Shelling/artillery/missile attack,Military Forces of Libya (2014-) Haftar Faction,,1,,,0,10,Northern Africa,Libya,Tripoli,Tripoli,,Hay Al Akwakh,32.8427,13.1542,1,Al Wasat (Libya); Libya24,National,On 29 February 2020 presumed LNA forces fired a rocket that hit the Nour school in Hay Al Akwakh (Tripoli Tripoli). No casualties reported.,0,1583788861,LBY
6982016,434,LBY9281,9281,29-Feb-20,2020,1,Battles,Government regains territory,Military Forces of Libya (2016-) Government of National Accord,,1,Military Forces of Libya (2014-) Haftar Faction,,1,11,Northern Africa,Libya,Aljfara,Aljfara,,Al Twaishah,32.6381,13.0719,1,Ean Libya Limited,National,On 29 February 2020 GNA forces reportedly captured positions from the LNA during fighting in Al Twaishah (Aljfara Aljfara). No casualties reported.,0,1583788861,LBY
6982017,434,LBY9280,9280,29-Feb-20,2020,1,Battles,Government regains territory,Military Forces of Libya (2016-) Government of National Accord,,1,Military Forces of Libya (2014-) Haftar Faction,,1,11,Northern Africa,Libya,Al Jabal Al Gharbi,Al Jabal Al Gharbi,,Al Hira,32.1457,13.0991,1,Ean Libya Limited,National,On 29 February 2020 GNA forces reportedly captured positions from the LNA during fighting in Al-Hira. No casualties reported.,0,1583788861,LBY
6982018,434,LBY9283,9283,29-Feb-20,2020,1,Battles,Government regains territory,Military Forces of Libya (2016-) Government of National Accord,,1,Military Forces of Libya (2014-) Haftar Faction,,1,11,Northern Africa,Libya,Aljfara,Aljfara,,As Saadiya,32.6166,13.05,1,Ean Libya Limited,National,On 29 February 2020 GNA forces reportedly captured positions from the LNA during fighting in As Saadiya (Aljfara Aljfara). No casualties reported.,0,1583788861,LBY
6982024,434,LBY9290,9290,29-Feb-20,2020,1,Explosions/Remote violence,Shelling/artillery/missile attack,Military Forces of Libya (2014-) Haftar Faction,,1,,,0,10,Northern Africa,Libya,Tripoli,Tripoli,,Souq Al Jumaa,32.88,13.2323,1,Libya24,National,On 29 February 2020 presumed LNA forces shelled Souq Al Jumaa (Tripoli Tripoli) and destroyed civilian homes. No casualties reported.,0,1583788861,LBY
