data_id,iso,event_id_cnty,event_id_no_cnty,event_date,year,time_precision,event_type,sub_event_type,actor1,assoc_actor_1,inter1,actor2,assoc_actor_2,inter2,interaction,region,country,admin1,admin2,admin3,location,latitude,longitude,geo_precision,source,source_scale,notes,fatalities,timestamp,iso3
6982950,484,MEX15572,15572,29-Feb-20,2020,1,Violence against civilians,Attack,Unidentified Armed Group (Mexico),,3,Civilians (Mexico),,7,37,Central America,Mexico,Jalisco,Guadalajara,,Guadalajara,20.6764,-103.3422,1,Metro Toluca,National,On 29 February 2020 in Guadalajara Jalisco a man was abducted by several individuals in Fraccionamiento Terranova. After being beaten the man was released on Tuesday March 3rd.,0,1583792127,MEX
6972728,484,MEX15567,15567,29-Feb-20,2020,1,Violence against civilians,Attack,Unidentified Gang (Mexico),,3,Civilians (Mexico),,7,37,Central America,Mexico,Mexico,Naucalpan de Juarez,,Naucalpan de Juarez,19.4788,-99.2332,1,La Verdad,National,On 29 February 2020 in Naucalpan Mexico armed men driving a vehicle attacked three men in Colonia Santiago Occipaco. All the victims died.,3,1583178775,MEX
6972736,484,MEX15570,15570,29-Feb-20,2020,1,Violence against civilians,Attack,Unidentified Gang (Mexico),,3,Civilians (Mexico),,7,37,Central America,Mexico,Michoacan,Zamora,,Zamora de Hidalgo,19.9836,-102.286,1,La Voz de Michoacan,Subnational,On 29 February 2020 in Zamora Michoacan armed men riding a motorcycle attacked a man in Colonia Alfonso Garcia Robles. The victim died.,1,1583178775,MEX
6972757,484,MEX15559,15559,29-Feb-20,2020,1,Violence against civilians,Attack,Unidentified Gang (Mexico),,3,Civilians (Mexico),,7,37,Central America,Mexico,Distrito Federal,Benito Juarez,,Ciudad de Mexico-Benito Juarez,19.372,-99.1579,1,Milenio,National,On 29 February 2020 in Benito Juarez Ciudad de Mexico armed men driving a vehicle attacked a group of people in Colonia Portales. Three people died and another man was injured.,3,1583178775,MEX
6972766,484,MEX15568,15568,29-Feb-20,2020,1,Battles,Armed clash,Los Pinas Gang,,3,Police Forces of Mexico (2018-),,1,13,Central America,Mexico,Veracruz,Playa Vicente,,Playa Vicente,17.8303,-95.8134,1,Milenio,National,On 29 February 2020 in Playa Vicente Veracruz members of Los Pinas Gang clashed with police officers. A leader of the gang died and two officers were injured.,1,1583178775,MEX
6972767,484,MEX15562,15562,29-Feb-20,2020,2,Violence against civilians,Sexual violence,Unidentified Gang (Mexico),,3,Civilians (Mexico),Women (Mexico); Men (Mexico),7,37,Central America,Mexico,Nuevo Leon,Garcia,,Garcia,25.8005,-100.5855,1,Milenio,National,On 29 February 2020 in Garcia Nuevo Leon a man and a woman were found dead in Ejido La Soledad. Both victims were naked the woman's body was mutilated and the man presented signs of torture and firearm injuries.,2,1583178775,MEX
6972773,484,MEX15560,15560,29-Feb-20,2020,1,Violence against civilians,Attack,Unidentified Armed Group (Mexico),,3,Civilians (Mexico),PAN: National Action Party; Former Government of Mexico (2018-),7,37,Central America,Mexico,Distrito Federal,Tlalpan,,Ciudad de Mexico-Tlalpan,19.2883,-99.1671,1,Milenio,National,On 29 February 2020 in Tlalpan Ciudad de Mexico a former deputy from the PAN party was shot dead in Colonia Pueblo de Santo Tomas Ajusco. There is no information about the perpetrators.,1,1583178775,MEX
6972577,484,MEX15564,15564,29-Feb-20,2020,2,Violence against civilians,Attack,Unidentified Gang (Mexico),,3,Civilians (Mexico),,7,37,Central America,Mexico,Colima,Manzanillo,,Manzanillo,19.0532,-104.3164,1,El Proceso; Colima Noticias,Subnational-National,On 29 February 2020 in Manzanillo Colima human remains were found inside three plastic bags in Salagua. Unknown fatalities coded as 3.,3,1583178775,MEX
6972578,484,MEX15565,15565,29-Feb-20,2020,1,Protests,Peaceful protest,Protesters (Mexico),SNTE: National Union of Education Workers; Teachers (Mexico),6,,,0,60,Central America,Mexico,Nuevo Leon,Monterrey,,Monterrey,25.6647,-100.311,1,El Norte; Milenio,Subnational-National,On 29 February 2020 in Monterrey Nuevo Leon a group of 30 teachers and members of the SNTE protested reporting irregularities in the process to assign job positions. [size=30],0,1583178775,MEX
6972583,484,MEX15569,15569,29-Feb-20,2020,1,Strategic developments,Looting/property destruction,Unidentified Armed Group (Mexico),,3,Civilians (Mexico),Labour Group (Mexico),7,37,Central America,Mexico,Baja California,Tijuana,,Tijuana,32.5325,-117.019,1,AFN - Tijuana,Subnational,On 29 February 2020 in Tijuana Baja California a group of men set on fire an exchange bureau in Colonia Tomas Aquino. The men used tires and Molotov cocktails. [size=no report],0,1583178775,MEX
