data_id,iso,event_id_cnty,event_id_no_cnty,event_date,year,time_precision,event_type,sub_event_type,actor1,assoc_actor_1,inter1,actor2,assoc_actor_2,inter2,interaction,region,country,admin1,admin2,admin3,location,latitude,longitude,geo_precision,source,source_scale,notes,fatalities,timestamp,iso3
6978325,706,SOM30594,30594,29-Feb-20,2020,1,Battles,Armed clash,Unidentified Armed Group (Somalia),,3,Police Forces of Somalia (2017-),,1,13,Eastern Africa,Somalia,Bari,Bossaso,,Bosaso,11.2842,49.1816,1,Somali Memo,National,On 29 February 2020 unknown armed people attacked a police station in Bosaso (Bossaso Bari). No fatalities were reported.,0,1583194354,SOM
6978327,706,SOM30595,30595,29-Feb-20,2020,1,Battles,Armed clash,Al Shabaab,,2,Military Forces of Somalia (2017-),,1,12,Eastern Africa,Somalia,Lower Shabelle,Afgooye,,Lafoole,2.0833,45.1667,1,Somali Memo,National,On 29 February 2020 Al Shabaab militants clashed with Somali military forces in Lafoole (Afgooye Lower Shabelle). Fatalities were not reported.,0,1583194354,SOM
6978373,706,SOM30597,30597,29-Feb-20,2020,1,Battles,Armed clash,Military Forces of Somalia (2017-) Puntland Security Force,,1,Military Forces of Somaliland (2010-),,1,11,Eastern Africa,Somalia,Sool,Laas Caanood,,Tuko Raq,8.5673,47.6438,2,Twitter,New media,On 29 February 2020 Somaliland and Puntland military forces exchanged mortar fires in the Tuko Raq area (Laas Caanood Sool). No fatalities were reported.,0,1583194354,SOM
6978141,706,SOM30596,30596,29-Feb-20,2020,1,Violence against civilians,Attack,Al Shabaab,,2,Civilians (Somalia),Labour Group (Somalia),7,27,Eastern Africa,Somalia,Banadir,Dharkenley,,Mogadishu-Dharkenley,2.0095,45.25,1,Halgan Media,National,On 29 February 2020 Al Shabaab militants shot dead a labourer who worked at the government building in Mogadishu-Dharkenley (Dharkenley Banadir).,1,1583194354,SOM
6982573,706,SOM30601,30601,29-Feb-20,2020,1,Battles,Non-state actor overtakes territory,Hawadle Clan Militia (Somalia),,4,Military Forces of Somalia (2017-) Puntland Maritime Police Force,,1,14,Eastern Africa,Somalia,Hiraan,Belet Weyne,,Kalabeyr,4.9263,45.2172,1,Undisclosed Source,Local partner-Other,On 29 February 2020 clan militia hailing from Hawadle clan took over Kalabeyr checkpoint in Beletweyne (Belet weyne Hiraan). No fatalities were reported.,0,1583789987,SOM
6982577,706,SOM30600,30600,29-Feb-20,2020,1,Battles,Non-state actor overtakes territory,Hawadle Clan Militia (Somalia),,4,Military Forces of Somalia (2017-) Puntland Maritime Police Force,,1,14,Eastern Africa,Somalia,Hiraan,Belet Weyne,,Belet Weyne,4.736,45.2043,2,Undisclosed Source,Local partner-Other,On 29 February 2020 clan militia hailing from Hawadle clan took over Horseed checkpoint in Beletweyne (Belet weyne Hiraan). No fatalities were reported.,0,1583789987,SOM
6982589,706,SOM30602,30602,29-Feb-20,2020,1,Battles,Armed clash,Al Shabaab,,2,Military Forces of Somalia (2017-),,1,12,Eastern Africa,Somalia,Lower Shabelle,Afgooye,,Lafoole,2.0833,45.1667,1,Undisclosed Source,Local partner-Other,On 29 February 2020 Al Shabaab militants attacked Somali military forces in Lafoole (Afgooye Lower Shabelle). Casualties could not be confirmed.,0,1583789987,SOM
6982595,706,SOM30599,30599,29-Feb-20,2020,1,Explosions/Remote violence,Shelling/artillery/missile attack,Al Shabaab,,2,,,0,20,Eastern Africa,Somalia,Bari,Bossaso,,Balli-Khadar,10.9532,49.1327,1,Undisclosed Source,Local partner-Other,On 29 February 2020 three mortar shells were fired by Al Shabaab towards Puntland Maritime Police Military base in Balli-Khadar (Bossaso Bari). They landed in an empty space.,0,1583789987,SOM
6978323,706,SOM30590,30590,28-Feb-20,2020,1,Battles,Armed clash,Al Shabaab,,2,Military Forces of Somalia (2017-),,1,12,Eastern Africa,Somalia,Galgaduud,Dhuusamarreeb,,Guri-Ceel,5.3083,45.8774,1,Somali Memo,National,On 28 February 2020 Al Shabaab militants clashed with Somali military forces in Guri-Ceel (Dhuusamarreeb Galgaduud) killing two soldiers.,2,1583194354,SOM
6978370,706,SOM30587,30587,28-Feb-20,2020,1,Strategic developments,Disrupted weapons use,Military Forces of Somalia (2017-),,1,ASWJ: Ahlu Sunna Wal Jamaa,,3,13,Eastern Africa,Somalia,Galgaduud,Dhuusamarreeb,,Dhuusamarreeb,5.5376,46.3867,1,Twitter,New media,On 28 February 2020 Somali military forces seized weapons in Dhuusamarreeb (Dhuusamarreeb Galgduud). The weapons were suspected to belong to ASWJ.,0,1583194354,SOM
