data_id,iso,event_id_cnty,event_id_no_cnty,event_date,year,time_precision,event_type,sub_event_type,actor1,assoc_actor_1,inter1,actor2,assoc_actor_2,inter2,interaction,region,country,admin1,admin2,admin3,location,latitude,longitude,geo_precision,source,source_scale,notes,fatalities,timestamp,iso3
6877188,760,SYR75897,75897,22-Feb-20,2020,1,Strategic developments,Change to group/activity,Military Forces of Turkey (2016-),,8,,,0,80,Middle East,Syria,Idleb,Harim,Dana,Kafr Lusin,36.2555,36.7148,1,SOHR,Other,Movement of forces: On 22 February 2020 a new Turkish military column of nearly 80 military vehicles crossing into the Syrian territory via Kafr Lusin border crossing north of Idlib city. The new column headed towards the Turkish military posts in Idlib.,0,1582584034,SYR
6876963,760,SYR75946,75946,22-Feb-20,2020,1,Strategic developments,Other,Global Coalition Against Daesh,Military Forces of United States,8,Military Forces of Russia (2000-),,8,88,Middle East,Syria,Al-Hasakeh,Quamishli,Amuda,Amuda,37.1026,40.9313,2,Liveuamap; SHAM,Local partner-New media,On 22 February 2020 US forces blocked the road preventing a Russian convoy consisting of 6 military vehicles from passing towards Amuda on M4 road.,0,1582584033,SYR
6876970,760,SYR75962,75962,22-Feb-20,2020,1,Explosions/Remote violence,Remote explosive/landmine/IED,Unidentified Armed Group (Syria),,3,QSD: Syrian Democratic Forces,Northern Democratic Brigade,2,23,Middle East,Syria,Ar-Raqqa,Ar-Raqqa,Ar-Raqqa,Ar-Raqqa - Wihdeh,35.9613,38.9987,1,Liveuamap; SHAM,Local partner-New media,On 22 February 2020 an IED planted by an unidentified armed group detonated in the headquarter of Al Shamal brigade affiliated to QSD in Wihdeh neighborhood in Ar-Raqqa city which resulted in several casualties. No fatalities were reported.,0,1582584033,SYR
6876980,760,SYR76013,76013,22-Feb-20,2020,1,Explosions/Remote violence,Shelling/artillery/missile attack,Military Forces of Syria (2000-),,1,,,0,10,Middle East,Syria,Aleppo,Jebel Saman,Daret Azza,Daret Azza,36.285,36.8511,1,Liveuamap; SOHR,Local partner-New media,On 22 February 2020 regime forces shelled Daret Azza in Aleppo countryside. Neither injuries nor fatalities were reported.,0,1582584033,SYR
6876981,760,SYR76015,76015,22-Feb-20,2020,1,Explosions/Remote violence,Shelling/artillery/missile attack,Military Forces of Syria (2000-),,1,,,0,10,Middle East,Syria,Idleb,Al Ma'ra,Kafr Nobol,Has,35.6191,36.5954,1,Liveuamap; SOHR,Local partner-New media,On 22 February 2020 regime forces shelled Has in Idleb countryside. Neither injuries nor fatalities were reported.,0,1582584033,SYR
6877008,760,SYR75834,75834,22-Feb-20,2020,1,Explosions/Remote violence,Air/drone strike,Military Forces of Syria (2000-),Military Forces of Syria (2000-) Syrian Arab Air Force; Military Forces of Russia (2000-),1,,,0,10,Middle East,Syria,Idleb,Ariha,Ehsem,Kansafra,35.6599,36.4849,1,Liveuamap,Local partner-New media,On 22 February 2020 Russian warplanes carried out airstrikes on Kansafra in Idleb countryside amid regime forces shelling the town as well and regime helicopters dropping barrel bombs. Neither injuries nor fatalities were reported.,0,1582584033,SYR
6877011,760,SYR75835,75835,22-Feb-20,2020,1,Explosions/Remote violence,Air/drone strike,Military Forces of Syria (2000-),Military Forces of Russia (2000-),1,,,0,10,Middle East,Syria,Idleb,Al Ma'ra,Kafr Nobol,Maaret Harma,35.5458,36.5442,1,Liveuamap,Local partner-New media,On 22 February 2020 Russian warplanes carried out airstrikes on Maaret Harma in Idleb countryside amid regime forces shelling the town as well. Neither injuries nor fatalities were reported.,0,1582584033,SYR
6877018,760,SYR75856,75856,22-Feb-20,2020,1,Battles,Armed clash,Military Forces of Turkey (2016-),Opposition Rebels (Syria),8,Military Forces of Syria (2000-),,1,18,Middle East,Syria,Ar-Raqqa,Tell Abiad,Tell Abiad,Tell Abiad,36.6978,38.9548,2,Liveuamap,Local partner-New media,On 22 February 2020 Turkish army and its affiliated opposition groups attacked Bir Keno village in Tell Abiad western countryside clashes took place against regime forces. Neither injuries nor fatalities were reported.,0,1582584033,SYR
6877023,760,SYR75814,75814,22-Feb-20,2020,1,Explosions/Remote violence,Air/drone strike,Military Forces of Russia (2000-),,8,,,0,80,Middle East,Syria,Aleppo,Jebel Saman,Haritan,Kafr Hamra,36.2543,37.0813,1,Liveuamap,Local partner-New media,On 22 February 2020 Russian warplanes carried out airstrikes on Kafr Hamra in Aleppo countryside. Neither injuries nor fatalities were reported.,0,1582584033,SYR
6877030,760,SYR75836,75836,22-Feb-20,2020,1,Explosions/Remote violence,Air/drone strike,Military Forces of Syria (2000-),Military Forces of Russia (2000-),1,,,0,10,Middle East,Syria,Idleb,Al Ma'ra,Kafr Nobol,Sfuhen,35.6073,36.4645,1,Liveuamap,Local partner-New media,On 22 February 2020 Russian warplanes carried out airstrikes on Sfuhen in Idleb countryside amid regime forces shelling the town as well. Neither injuries nor fatalities were reported.,0,1582584033,SYR
