data_id,iso,event_id_cnty,event_id_no_cnty,event_date,year,time_precision,event_type,sub_event_type,actor1,assoc_actor_1,inter1,actor2,assoc_actor_2,inter2,interaction,region,country,admin1,admin2,admin3,location,latitude,longitude,geo_precision,source,source_scale,notes,fatalities,timestamp,iso3
6874882,887,YEM49125,49125,22-Feb-20,2020,1,Explosions/Remote violence,Shelling/artillery/missile attack,Military Forces of Yemen (2016-) Supreme Political Council,,1,Military Forces of Yemen (2012-),,1,11,Middle East,Yemen,Marib,Marib,,Sahn al Jin Military Camp,15.5061,45.3267,1,Al Masdar,National,On 22 February 2020 pro-Houthi forces reportedly fired a missile at Sahn al Jin Military Camp (Marib Marib) that missed its target and caused minor damage to nearby buildings. It was reported that no injuries occurred.,0,1582568820,YEM
6874887,887,YEM49105,49105,22-Feb-20,2020,1,Strategic developments,Disrupted weapons use,Military Forces of Yemen (2012-) Coast Guard,,1,Military Forces of Yemen (2016-) Supreme Political Council,,1,11,Middle East,Yemen,Al Hudaydah,Al Hawak,,Al Hudaydah,14.7978,42.9545,3,Mareb Press,National,On 22 February 2020 the Yemeni Coast Guard reportedly seized 200 tons of explosive material en route to a Houthi controlled port in Al Hudaydah governorate.,0,1582568820,YEM
6874897,887,YEM49128,49128,22-Feb-20,2020,1,Explosions/Remote violence,Air/drone strike,Operation Restoring Hope,,8,Military Forces of Yemen (2016-) Supreme Political Council,,1,18,Middle East,Yemen,Sadah,Sahar,,Al Hamazat,16.9878,43.7733,2,Nukhba Hadramawt,National,On 22 February 2020 Saudi-led coalition airstrikes reportedly targeted pro-Houthi positions near Al Hamazat (Sahar Sadah). There were no reports of injuries or fatalities.,0,1582568820,YEM
6874900,887,YEM49122,49122,22-Feb-20,2020,1,Explosions/Remote violence,Air/drone strike,Operation Restoring Hope,,8,Military Forces of Yemen (2016-) Supreme Political Council,,1,18,Middle East,Yemen,Amanat al Asimah,Bani Al Harith,,Sanaa-Sanaa International Airport,15.4763,44.2197,1,Nukhba Hadramawt,National,On 22 February 2020 Saudi-led coalition airstrikes reportedly targeted pro-Houthi positions at the Al Daylami base and air defence forces in the north of Sanaa [Sanaa International Airport] (Bani Al Harith Amanat al Asimah). There were no reports of injuries or fatalities.,0,1582568820,YEM
6874902,887,YEM49111,49111,22-Feb-20,2020,2,Strategic developments,Change to group/activity,Military Forces of Yemen (2016-) Supreme Political Council,,1,,,0,10,Middle East,Yemen,Al Hudaydah,Hays,,Bayt Maghari,13.9363,43.4555,2,Nukhba Hadramawt,National,On 22 February 2020 it was reported that pro-Houthi forces had been reinforced and trenches built in the area of Bayt Maghari (Hays Al Hudaydah).,0,1582568820,YEM
6874684,887,YEM48911,48911,22-Feb-20,2020,1,Strategic developments,Looting/property destruction,Military Forces of Yemen (2016-) Supreme Political Council,,1,Operation Restoring Hope,Military Forces of Saudi Arabia (2015-),8,18,Middle East,Yemen,Sadah,Al Dhaher,,Al Malahit,16.7685,43.2758,3,Yemen Data Project; Ansar Allah,Local partner-National,On 22 February 2020 the pro-Houthi air defence reportedly intercepted and destroyed a coalition reconnaissance drone flying east of Al Khobh (Al Harth Jizan). *ACLED uses a Yemeni location close to the border to record events between pro-Houthi and anti-Houthi troops where the location reported within 20km of the border in Saudi Arabia has an unclear geoprecision.,0,1582568820,YEM
6874823,887,YEM49099,49099,22-Feb-20,2020,1,Strategic developments,Arrests,Military Forces of Yemen (2012-) Security Belt Forces,,1,Southern Resistance,,3,13,Middle East,Yemen,Aden,Al Mansura,,Abdul Aziz,12.8646,44.9975,1,Aden al Ghad; Al Masdar,Subnational-National,On 22 February 2020 Security Belt Forces stormed the Beirut Hotel across the street from Abdul Aziz park (Al Mansura Aden) and arrested two commanders and a number of Southern Resistance troops.,0,1582568820,YEM
6874824,887,YEM49100,49100,22-Feb-20,2020,1,Battles,Armed clash,Southern Resistance,,3,Military Forces of Yemen (2016-) Supreme Political Council,,1,13,Middle East,Yemen,Al Bayda,Mukayras,,Aqabat Thirah,13.8874,45.774,2,Khabar News Agency (Yemen); Yemen Data Project,Local partner-National,On 22 February 2020 Southern Resistance forces and pro-Houthi forces exchanged heavy weapons fire on Burkan and Thirah mountains (Mukayras Al Bayda). Several pro-Houthi elements were killed and injured. Unknown number of fatalities and injuries coded as 10.,10,1582568820,YEM
6874825,887,YEM49101,49101,22-Feb-20,2020,1,Strategic developments,Change to group/activity,National Resistance Forces,,3,,,0,30,Middle East,Yemen,Al Hudaydah,Ad Durayhimi,,Ad Durayhimi,14.637,43.0551,2,Al Masirah; Yemen Data Project,Local partner-National,On 22 February 2020 anti-Houthi National Resistance forces reportedly established new fortifications east of Ad Durayhimi city (Al Hudaydah).,0,1582568820,YEM
6874826,887,YEM49102,49102,22-Feb-20,2020,1,Explosions/Remote violence,Shelling/artillery/missile attack,National Resistance Forces,,3,,,0,30,Middle East,Yemen,Al Hudaydah,Ad Durayhimi,,Ad Durayhimi,14.637,43.0551,1,Al Masirah; Yemen Data Project,Local partner-National,On 22 February 2020 anti-Houthi National Resistance forces reportedly fired heavy and medium weapons at the outskirts of Ad Durayhimi city (Al Hudaydah). No fatalities nor injuries reported.,0,1582568820,YEM
